Date,Country,Demand,year,month,day_of_week
2011-01-27,EIRE,155,2011,1,3
2011-01-27,Germany,410,2011,1,3
2011-01-27,Lebanon,386,2011,1,3
2011-01-27,Spain,643,2011,1,3
2011-01-27,United Kingdom,9461,2011,1,3
2011-01-28,Australia,110,2011,1,4
2011-01-28,France,574,2011,1,4
2011-01-28,Sweden,2804,2011,1,4
2011-01-28,Switzerland,340,2011,1,4
2011-01-28,United Kingdom,6024,2011,1,4
2011-01-30,United Kingdom,3431,2011,1,6
2011-01-31,France,1822,2011,1,0
2011-01-31,Germany,1069,2011,1,0
2011-01-31,Netherlands,117,2011,1,0
2011-01-31,United Kingdom,10407,2011,1,0
2011-02-01,Austria,197,2011,2,1
2011-02-01,EIRE,463,2011,2,1
2011-02-01,France,200,2011,2,1
2011-02-01,Germany,61,2011,2,1
2011-02-01,Netherlands,113,2011,2,1
2011-02-01,Spain,193,2011,2,1
2011-02-01,Sweden,250,2011,2,1
2011-02-01,United Kingdom,14357,2011,2,1
2011-02-02,Austria,145,2011,2,2
2011-02-02,EIRE,4,2011,2,2
2011-02-02,France,368,2011,2,2
2011-02-02,Germany,36,2011,2,2
2011-02-02,Norway,197,2011,2,2
2011-02-02,United Kingdom,8979,2011,2,2
2011-02-03,Belgium,21,2011,2,3
2011-02-03,EIRE,270,2011,2,3
2011-02-03,Germany,469,2011,2,3
2011-02-03,Spain,171,2011,2,3
2011-02-03,United Kingdom,14788,2011,2,3
2011-02-04,EIRE,75,2011,2,4
2011-02-04,France,617,2011,2,4
2011-02-04,Japan,37,2011,2,4
2011-02-04,Poland,98,2011,2,4
2011-02-04,Switzerland,211,2011,2,4
2011-02-04,United Kingdom,11667,2011,2,4
2011-02-06,United Kingdom,2048,2011,2,6
2011-02-07,Australia,79,2011,2,0
2011-02-07,Cyprus,494,2011,2,0
2011-02-07,United Kingdom,8570,2011,2,0
2011-02-08,France,216,2011,2,1
2011-02-08,Netherlands,1126,2011,2,1
2011-02-08,Poland,199,2011,2,1
2011-02-08,United Kingdom,8588,2011,2,1
2011-02-09,Belgium,11,2011,2,2
2011-02-09,France,301,2011,2,2
2011-02-09,Germany,160,2011,2,2
2011-02-09,Japan,2962,2011,2,2
2011-02-09,Spain,287,2011,2,2
2011-02-09,United Kingdom,3444,2011,2,2
2011-02-10,France,454,2011,2,3
2011-02-10,Germany,228,2011,2,3
2011-02-10,United Kingdom,11211,2011,2,3
2011-02-11,Belgium,262,2011,2,4
2011-02-11,Germany,639,2011,2,4
2011-02-11,United Kingdom,9623,2011,2,4
2011-02-13,United Kingdom,2756,2011,2,6
2011-02-14,EIRE,1502,2011,2,0
2011-02-14,Germany,459,2011,2,0
2011-02-14,Spain,219,2011,2,0
2011-02-14,United Arab Emirates,496,2011,2,0
2011-02-14,United Kingdom,10919,2011,2,0
2011-02-15,Australia,8384,2011,2,1
2011-02-15,Channel Islands,935,2011,2,1
2011-02-15,EIRE,2402,2011,2,1
2011-02-15,France,98,2011,2,1
2011-02-15,United Kingdom,10875,2011,2,1
2011-02-16,Cyprus,1522,2011,2,2
2011-02-16,Denmark,224,2011,2,2
2011-02-16,France,777,2011,2,2
2011-02-16,Israel,286,2011,2,2
2011-02-16,Norway,98,2011,2,2
2011-02-16,United Kingdom,13249,2011,2,2
2011-02-17,Belgium,508,2011,2,3
2011-02-17,Cyprus,1,2011,2,3
2011-02-17,EIRE,87,2011,2,3
2011-02-17,France,116,2011,2,3
2011-02-17,Germany,380,2011,2,3
2011-02-17,United Kingdom,13336,2011,2,3
2011-02-18,EIRE,61,2011,2,4
2011-02-18,France,768,2011,2,4
2011-02-18,Germany,108,2011,2,4
2011-02-18,Italy,111,2011,2,4
2011-02-18,United Kingdom,8133,2011,2,4
2011-02-20,United Kingdom,5353,2011,2,6
2011-02-21,Belgium,194,2011,2,0
2011-02-21,Cyprus,174,2011,2,0
2011-02-21,EIRE,472,2011,2,0
2011-02-21,France,334,2011,2,0
2011-02-21,Germany,791,2011,2,0
2011-02-21,Netherlands,12208,2011,2,0
2011-02-21,Portugal,454,2011,2,0
2011-02-21,United Kingdom,6962,2011,2,0
2011-02-22,Netherlands,2940,2011,2,1
2011-02-22,United Kingdom,18962,2011,2,1
2011-02-23,EIRE,668,2011,2,2
2011-02-23,France,362,2011,2,2
2011-02-23,Germany,201,2011,2,2
2011-02-23,United Kingdom,12536,2011,2,2
2011-02-24,Finland,141,2011,2,3
2011-02-24,Saudi Arabia,80,2011,2,3
2011-02-24,Switzerland,560,2011,2,3
2011-02-24,United Kingdom,11115,2011,2,3
2011-02-25,Belgium,91,2011,2,4
2011-02-25,Germany,713,2011,2,4
2011-02-25,Switzerland,66,2011,2,4
2011-02-25,United Kingdom,9703,2011,2,4
2011-02-27,Australia,217,2011,2,6
2011-02-27,France,71,2011,2,6
2011-02-27,United Kingdom,4582,2011,2,6
2011-02-28,Belgium,15,2011,2,0
2011-02-28,Czech Republic,346,2011,2,0
2011-02-28,France,658,2011,2,0
2011-02-28,Portugal,104,2011,2,0
2011-02-28,Switzerland,270,2011,2,0
2011-02-28,United Kingdom,8513,2011,2,0
2011-03-01,Belgium,171,2011,3,1
2011-03-01,EIRE,669,2011,3,1
2011-03-01,Finland,2127,2011,3,1
2011-03-01,France,580,2011,3,1
2011-03-01,Germany,384,2011,3,1
2011-03-01,Norway,29,2011,3,1
2011-03-01,United Kingdom,8185,2011,3,1
2011-03-02,Channel Islands,459,2011,3,2
2011-03-02,Japan,6,2011,3,2
2011-03-02,United Kingdom,8152,2011,3,2
2011-03-03,Australia,10272,2011,3,3
2011-03-03,Austria,53,2011,3,3
2011-03-03,Belgium,126,2011,3,3
2011-03-03,France,342,2011,3,3
2011-03-03,Germany,536,2011,3,3
2011-03-03,United Kingdom,8798,2011,3,3
2011-03-04,EIRE,857,2011,3,4
2011-03-04,France,125,2011,3,4
2011-03-04,Greece,289,2011,3,4
2011-03-04,Italy,84,2011,3,4
2011-03-04,Japan,3,2011,3,4
2011-03-04,Spain,397,2011,3,4
2011-03-04,United Kingdom,11817,2011,3,4
2011-03-06,United Kingdom,5049,2011,3,6
2011-03-07,Germany,358,2011,3,0
2011-03-07,Japan,12,2011,3,0
2011-03-07,United Kingdom,13660,2011,3,0
2011-03-08,Germany,437,2011,3,1
2011-03-08,Portugal,1109,2011,3,1
2011-03-08,United Kingdom,13021,2011,3,1
2011-03-09,Australia,90,2011,3,2
2011-03-09,Channel Islands,944,2011,3,2
2011-03-09,Netherlands,277,2011,3,2
2011-03-09,Switzerland,314,2011,3,2
2011-03-09,United Kingdom,10293,2011,3,2
2011-03-10,Channel Islands,701,2011,3,3
2011-03-10,Cyprus,1005,2011,3,3
2011-03-10,EIRE,3416,2011,3,3
2011-03-10,Sweden,144,2011,3,3
2011-03-10,United Kingdom,10318,2011,3,3
2011-03-11,EIRE,2,2011,3,4
2011-03-11,France,325,2011,3,4
2011-03-11,Germany,618,2011,3,4
2011-03-11,United Kingdom,9577,2011,3,4
2011-03-13,France,185,2011,3,6
2011-03-13,United Kingdom,2564,2011,3,6
2011-03-14,Belgium,91,2011,3,0
2011-03-14,Canada,88,2011,3,0
2011-03-14,EIRE,936,2011,3,0
2011-03-14,France,187,2011,3,0
2011-03-14,Netherlands,152,2011,3,0
2011-03-14,Sweden,5156,2011,3,0
2011-03-14,United Kingdom,10155,2011,3,0
2011-03-15,EIRE,1174,2011,3,1
2011-03-15,France,317,2011,3,1
2011-03-15,Hong Kong,1,2011,3,1
2011-03-15,Poland,162,2011,3,1
2011-03-15,United Kingdom,7306,2011,3,1
2011-03-16,France,160,2011,3,2
2011-03-16,Germany,50,2011,3,2
2011-03-16,Spain,405,2011,3,2
2011-03-16,United Kingdom,12332,2011,3,2
2011-03-17,Denmark,879,2011,3,3
2011-03-17,EIRE,417,2011,3,3
2011-03-17,Germany,763,2011,3,3
2011-03-17,Italy,440,2011,3,3
2011-03-17,Norway,63,2011,3,3
2011-03-17,United Kingdom,18440,2011,3,3
2011-03-18,EIRE,265,2011,3,4
2011-03-18,Germany,1252,2011,3,4
2011-03-18,United Kingdom,12465,2011,3,4
2011-03-20,Belgium,215,2011,3,6
2011-03-20,EIRE,73,2011,3,6
2011-03-20,Finland,63,2011,3,6
2011-03-20,France,423,2011,3,6
2011-03-20,Germany,114,2011,3,6
2011-03-20,United Kingdom,13307,2011,3,6
2011-03-21,Belgium,139,2011,3,0
2011-03-21,France,90,2011,3,0
2011-03-21,United Kingdom,10082,2011,3,0
2011-03-22,France,201,2011,3,1
2011-03-22,Germany,976,2011,3,1
2011-03-22,Netherlands,170,2011,3,1
2011-03-22,Norway,64,2011,3,1
2011-03-22,Spain,335,2011,3,1
2011-03-22,United Kingdom,14821,2011,3,1
2011-03-23,Austria,929,2011,3,2
2011-03-23,Belgium,685,2011,3,2
2011-03-23,France,1233,2011,3,2
2011-03-23,Portugal,125,2011,3,2
2011-03-23,United Kingdom,11418,2011,3,2
2011-03-24,Australia,77,2011,3,3
2011-03-24,Belgium,356,2011,3,3
2011-03-24,EIRE,114,2011,3,3
2011-03-24,Portugal,1,2011,3,3
2011-03-24,Spain,512,2011,3,3
2011-03-24,Sweden,107,2011,3,3
2011-03-24,United Kingdom,17073,2011,3,3
2011-03-25,EIRE,533,2011,3,4
2011-03-25,France,264,2011,3,4
2011-03-25,Germany,1134,2011,3,4
2011-03-25,Netherlands,835,2011,3,4
2011-03-25,Spain,346,2011,3,4
2011-03-25,Switzerland,227,2011,3,4
2011-03-25,United Kingdom,10757,2011,3,4
2011-03-27,France,61,2011,3,6
2011-03-27,United Kingdom,4469,2011,3,6
2011-03-28,EIRE,745,2011,3,0
2011-03-28,France,848,2011,3,0
2011-03-28,Germany,850,2011,3,0
2011-03-28,Italy,164,2011,3,0
2011-03-28,Portugal,217,2011,3,0
2011-03-28,Spain,550,2011,3,0
2011-03-28,United Kingdom,8889,2011,3,0
2011-03-29,EIRE,334,2011,3,1
2011-03-29,Netherlands,12186,2011,3,1
2011-03-29,United Kingdom,20283,2011,3,1
2011-03-30,Finland,346,2011,3,2
2011-03-30,Germany,174,2011,3,2
2011-03-30,Netherlands,1208,2011,3,2
2011-03-30,Switzerland,445,2011,3,2
2011-03-30,United Kingdom,18536,2011,3,2
2011-03-31,EIRE,45,2011,3,3
2011-03-31,France,3349,2011,3,3
2011-03-31,Germany,93,2011,3,3
2011-03-31,Portugal,174,2011,3,3
2011-03-31,United Kingdom,13225,2011,3,3
2011-04-01,Australia,1,2011,4,4
2011-04-01,EIRE,713,2011,4,4
2011-04-01,France,328,2011,4,4
2011-04-01,Germany,115,2011,4,4
2011-04-01,Israel,30,2011,4,4
2011-04-01,United Kingdom,17307,2011,4,4
2011-04-03,United Kingdom,5679,2011,4,6
2011-04-04,EIRE,1239,2011,4,0
2011-04-04,France,298,2011,4,0
2011-04-04,Germany,390,2011,4,0
2011-04-04,Singapore,5,2011,4,0
2011-04-04,United Kingdom,12081,2011,4,0
2011-04-05,Finland,269,2011,4,1
2011-04-05,France,1,2011,4,1
2011-04-05,Japan,1626,2011,4,1
2011-04-05,Netherlands,1336,2011,4,1
2011-04-05,Poland,432,2011,4,1
2011-04-05,Singapore,1384,2011,4,1
2011-04-05,United Kingdom,10947,2011,4,1
2011-04-06,EIRE,655,2011,4,2
2011-04-06,United Kingdom,8515,2011,4,2
2011-04-07,Belgium,248,2011,4,3
2011-04-07,EIRE,390,2011,4,3
2011-04-07,France,239,2011,4,3
2011-04-07,Germany,238,2011,4,3
2011-04-07,Iceland,483,2011,4,3
2011-04-07,Italy,445,2011,4,3
2011-04-07,United Kingdom,8502,2011,4,3
2011-04-08,Australia,224,2011,4,4
2011-04-08,Germany,845,2011,4,4
2011-04-08,Greece,262,2011,4,4
2011-04-08,Portugal,370,2011,4,4
2011-04-08,United Kingdom,11313,2011,4,4
2011-04-10,Belgium,190,2011,4,6
2011-04-10,United Kingdom,5442,2011,4,6
2011-04-11,EIRE,590,2011,4,0
2011-04-11,Finland,237,2011,4,0
2011-04-11,Germany,464,2011,4,0
2011-04-11,Spain,156,2011,4,0
2011-04-11,United Kingdom,11911,2011,4,0
2011-04-11,Unspecified,282,2011,4,0
2011-04-12,Belgium,189,2011,4,1
2011-04-12,Hong Kong,732,2011,4,1
2011-04-12,United Kingdom,14420,2011,4,1
2011-04-13,Channel Islands,97,2011,4,2
2011-04-13,Portugal,581,2011,4,2
2011-04-13,United Kingdom,18091,2011,4,2
2011-04-14,France,287,2011,4,3
2011-04-14,Germany,1208,2011,4,3
2011-04-14,Switzerland,196,2011,4,3
2011-04-14,United Kingdom,17186,2011,4,3
2011-04-15,Belgium,77,2011,4,4
2011-04-15,Brazil,356,2011,4,4
2011-04-15,Finland,159,2011,4,4
2011-04-15,Sweden,201,2011,4,4
2011-04-15,Switzerland,101,2011,4,4
2011-04-15,United Kingdom,11835,2011,4,4
2011-04-17,EIRE,151,2011,4,6
2011-04-17,France,402,2011,4,6
2011-04-17,United Kingdom,7630,2011,4,6
2011-04-18,Belgium,204,2011,4,0
2011-04-18,Germany,1,2011,4,0
2011-04-18,Japan,6432,2011,4,0
2011-04-18,United Kingdom,23207,2011,4,0
2011-04-19,EIRE,234,2011,4,1
2011-04-19,Germany,1503,2011,4,1
2011-04-19,Italy,208,2011,4,1
2011-04-19,USA,137,2011,4,1
2011-04-19,United Kingdom,12400,2011,4,1
2011-04-20,France,200,2011,4,2
2011-04-20,Germany,232,2011,4,2
2011-04-20,Switzerland,100,2011,4,2
2011-04-20,United Kingdom,17844,2011,4,2
2011-04-21,Finland,153,2011,4,3
2011-04-21,France,301,2011,4,3
2011-04-21,Germany,215,2011,4,3
2011-04-21,Spain,530,2011,4,3
2011-04-21,Switzerland,489,2011,4,3
2011-04-21,United Kingdom,16528,2011,4,3
2011-04-26,Austria,311,2011,4,1
2011-04-26,European Community,34,2011,4,1
2011-04-26,France,84,2011,4,1
2011-04-26,United Kingdom,15726,2011,4,1
2011-04-27,EIRE,163,2011,4,2
2011-04-27,Germany,468,2011,4,2
2011-04-27,Sweden,109,2011,4,2
2011-04-27,United Kingdom,17509,2011,4,2
2011-04-28,Belgium,275,2011,4,3
2011-04-28,France,147,2011,4,3
2011-04-28,Germany,85,2011,4,3
2011-04-28,Netherlands,432,2011,4,3
2011-04-28,Spain,267,2011,4,3
2011-04-28,United Kingdom,12206,2011,4,3
2011-05-01,Germany,647,2011,5,6
2011-05-01,United Kingdom,3172,2011,5,6
2011-05-03,EIRE,532,2011,5,1
2011-05-03,France,1046,2011,5,1
2011-05-03,United Kingdom,10888,2011,5,1
2011-05-04,Canada,504,2011,5,2
2011-05-04,Germany,506,2011,5,2
2011-05-04,Spain,747,2011,5,2
2011-05-04,United Kingdom,15628,2011,5,2
2011-05-05,Belgium,72,2011,5,3
2011-05-05,EIRE,193,2011,5,3
2011-05-05,France,100,2011,5,3
2011-05-05,Germany,69,2011,5,3
2011-05-05,Poland,116,2011,5,3
2011-05-05,Switzerland,1771,2011,5,3
2011-05-05,United Kingdom,15158,2011,5,3
2011-05-06,Austria,42,2011,5,4
2011-05-06,Belgium,182,2011,5,4
2011-05-06,EIRE,1694,2011,5,4
2011-05-06,Germany,224,2011,5,4
2011-05-06,Spain,88,2011,5,4
2011-05-06,United Kingdom,17717,2011,5,4
2011-05-08,EIRE,446,2011,5,6
2011-05-08,France,779,2011,5,6
2011-05-08,United Kingdom,9477,2011,5,6
2011-05-09,Bahrain,240,2011,5,0
2011-05-09,France,497,2011,5,0
2011-05-09,Germany,380,2011,5,0
2011-05-09,Switzerland,114,2011,5,0
2011-05-09,United Kingdom,12126,2011,5,0
2011-05-10,Belgium,494,2011,5,1
2011-05-10,EIRE,349,2011,5,1
2011-05-10,France,460,2011,5,1
2011-05-10,Germany,313,2011,5,1
2011-05-10,United Kingdom,17532,2011,5,1
2011-05-10,Unspecified,654,2011,5,1
2011-05-11,Denmark,368,2011,5,2
2011-05-11,France,1593,2011,5,2
2011-05-11,Germany,204,2011,5,2
2011-05-11,Netherlands,279,2011,5,2
2011-05-11,Sweden,2,2011,5,2
2011-05-11,United Kingdom,16467,2011,5,2
2011-05-12,Australia,184,2011,5,3
2011-05-12,Belgium,83,2011,5,3
2011-05-12,France,106,2011,5,3
2011-05-12,Germany,5825,2011,5,3
2011-05-12,Netherlands,13262,2011,5,3
2011-05-12,Portugal,312,2011,5,3
2011-05-12,Sweden,2794,2011,5,3
2011-05-12,United Kingdom,15263,2011,5,3
2011-05-13,France,505,2011,5,4
2011-05-13,Germany,324,2011,5,4
2011-05-13,Hong Kong,1262,2011,5,4
2011-05-13,Japan,743,2011,5,4
2011-05-13,United Kingdom,12412,2011,5,4
2011-05-15,EIRE,139,2011,5,6
2011-05-15,France,141,2011,5,6
2011-05-15,United Kingdom,4618,2011,5,6
2011-05-16,EIRE,2274,2011,5,0
2011-05-16,France,283,2011,5,0
2011-05-16,United Kingdom,13462,2011,5,0
2011-05-17,Australia,8268,2011,5,1
2011-05-17,Belgium,168,2011,5,1
2011-05-17,Channel Islands,1,2011,5,1
2011-05-17,EIRE,428,2011,5,1
2011-05-17,France,479,2011,5,1
2011-05-17,Germany,530,2011,5,1
2011-05-17,United Kingdom,16936,2011,5,1
2011-05-18,EIRE,636,2011,5,2
2011-05-18,France,334,2011,5,2
2011-05-18,Netherlands,412,2011,5,2
2011-05-18,Sweden,37,2011,5,2
2011-05-18,United Kingdom,17640,2011,5,2
2011-05-19,Bahrain,20,2011,5,3
2011-05-19,Channel Islands,223,2011,5,3
2011-05-19,EIRE,397,2011,5,3
2011-05-19,France,562,2011,5,3
2011-05-19,Germany,1270,2011,5,3
2011-05-19,United Kingdom,15523,2011,5,3
2011-05-19,Unspecified,149,2011,5,3
2011-05-20,Australia,316,2011,5,4
2011-05-20,EIRE,226,2011,5,4
2011-05-20,France,473,2011,5,4
2011-05-20,Netherlands,128,2011,5,4
2011-05-20,United Kingdom,14271,2011,5,4
2011-05-22,France,298,2011,5,6
2011-05-22,Germany,968,2011,5,6
2011-05-22,United Kingdom,11483,2011,5,6
2011-05-23,Australia,231,2011,5,0
2011-05-23,Austria,434,2011,5,0
2011-05-23,Belgium,179,2011,5,0
2011-05-23,EIRE,401,2011,5,0
2011-05-23,France,306,2011,5,0
2011-05-23,Germany,451,2011,5,0
2011-05-23,Portugal,3,2011,5,0
2011-05-23,United Kingdom,16218,2011,5,0
2011-05-24,France,210,2011,5,1
2011-05-24,Germany,121,2011,5,1
2011-05-24,United Kingdom,15606,2011,5,1
2011-05-25,France,742,2011,5,2
2011-05-25,Netherlands,960,2011,5,2
2011-05-25,Poland,500,2011,5,2
2011-05-25,United Kingdom,10967,2011,5,2
2011-05-26,EIRE,313,2011,5,3
2011-05-26,France,514,2011,5,3
2011-05-26,Germany,533,2011,5,3
2011-05-26,Netherlands,4664,2011,5,3
2011-05-26,Spain,25,2011,5,3
2011-05-26,United Kingdom,10215,2011,5,3
2011-05-27,Belgium,651,2011,5,4
2011-05-27,France,157,2011,5,4
2011-05-27,Germany,342,2011,5,4
2011-05-27,United Kingdom,15070,2011,5,4
2011-05-29,Germany,258,2011,5,6
2011-05-29,United Kingdom,3866,2011,5,6
2011-05-31,France,203,2011,5,1
2011-05-31,Germany,32,2011,5,1
2011-05-31,Italy,267,2011,5,1
2011-05-31,Netherlands,231,2011,5,1
2011-05-31,Spain,608,2011,5,1
2011-05-31,Switzerland,364,2011,5,1
2011-05-31,United Kingdom,10058,2011,5,1
2011-06-01,Belgium,57,2011,6,2
2011-06-01,Germany,557,2011,6,2
2011-06-01,Netherlands,2874,2011,6,2
2011-06-01,United Kingdom,7502,2011,6,2
2011-06-02,Germany,1073,2011,6,3
2011-06-02,Sweden,54,2011,6,3
2011-06-02,United Kingdom,13470,2011,6,3
